Graph Nodes,MSE,Method
20,0.0024226348920088473,rounding
20,0.0006754653095185622,nearest
20,1.4431161312916604e-08,rounding
20,1.4431161312916604e-08,nearest
20,0.0009015003143486181,rounding
20,0.0009015003143486181,nearest
20,0.009411417923195867,rounding
20,0.003864111045865566,nearest
20,1.4584035988312972e-08,rounding
20,1.4584035988312972e-08,nearest
20,1.2307193023595278e-08,rounding
20,1.2307193023595278e-08,nearest
30,0.0007193270667575325,rounding
30,9.605402308734744e-09,nearest
30,0.0007235165277563093,rounding
30,4.610042079308549e-05,nearest
30,0.0005756779572506771,rounding
30,9.175352481898081e-09,nearest
30,7.566718100479891e-05,rounding
30,7.803579350731329e-05,nearest
30,8.817950037029771e-09,rounding
30,8.817950037029771e-09,nearest
30,0.0032784488283658098,rounding
30,8.572249222242269e-09,nearest
40,0.00254156592407324,rounding
40,7.153314279968689e-09,nearest
40,0.009511898898948847,rounding
40,0.0026770993036710354,nearest
40,0.001100505951077248,rounding
40,0.0001344398541367218,nearest
40,0.00684351135927534,rounding
40,0.0052582945786438075,nearest
40,0.0013959304937127296,rounding
40,6.637017125292856e-09,nearest
40,9.899970048249782e-05,rounding
40,6.913285818552934e-09,nearest
50,0.008154664123471178,rounding
50,0.002809761675088499,nearest
50,0.0037941499049031864,rounding
50,0.0033552067845552713,nearest
50,0.004432210648082031,rounding
50,0.0032819203662417386,nearest
50,0.00010779972903931614,rounding
50,0.00010779972903931614,nearest
50,0.0020209030919451283,rounding
50,0.00016571304120597692,nearest
50,0.0026131743532972207,rounding
50,0.0015591589090695219,nearest
60,0.0037552771253413922,rounding
60,0.00014975991526032615,nearest
60,0.002628996762502028,rounding
60,0.000822337940613417,nearest
60,0.0019125509787029434,rounding
60,0.0016023261520395334,nearest
60,0.0020597884432447945,rounding
60,0.00010669977016853766,nearest
60,0.0005932920428958831,rounding
60,9.846383604880246e-05,nearest
60,0.0018675306566632963,rounding
60,0.0007516821524127024,nearest
70,0.0006835094893351928,rounding
70,0.0002019316116101194,nearest
70,0.005677952210955452,rounding
70,0.0029271041366660372,nearest
70,0.0009014139589989918,rounding
70,0.0001728475311134896,nearest
70,0.0027722409450054476,rounding
70,0.0004957138254402004,nearest
70,0.002954649789283718,rounding
70,0.0026657879886774765,nearest
70,0.004080852039505957,rounding
70,0.0005575728946723935,nearest
80,0.0060405054971289975,rounding
80,0.00040279766426306045,nearest
80,0.000922455684496868,rounding
80,0.00045884114129059905,nearest
80,0.002471526561076862,rounding
80,0.0015212366665907611,nearest
80,0.0010007543562887162,rounding
80,0.0003750481385123312,nearest
80,3.6460252936842608e-09,rounding
80,3.6460252936842608e-09,nearest
80,0.0010296905650719725,rounding
80,0.00034489604254136504,nearest
90,0.00166287216755446,rounding
90,0.0004767321474664057,nearest
90,0.002289064265311651,rounding
90,0.000511173433952595,nearest
90,0.0005064628323119888,rounding
90,0.0007546083622873498,nearest
90,0.002724154808288743,rounding
90,0.0012865681997029181,nearest
90,0.0014239142294030826,rounding
90,0.0013622508853208429,nearest
90,0.006159297020332474,rounding
90,0.0014738263887599582,nearest
100,0.003236725010243321,rounding
100,0.0002531448609748531,nearest
100,0.003645180064053087,rounding
100,0.0011376008845905932,nearest
100,0.0026739220822738856,rounding
100,0.0016762995737283778,nearest
100,0.0027065416736420525,rounding
100,0.0018383550822528268,nearest
100,0.0011579389624396684,rounding
100,0.0006169729096028096,nearest
100,0.0015843922952707857,rounding
100,0.001528671224957994,nearest
110,0.0018893880699920452,rounding
110,0.0005236571178639375,nearest
110,9.462441030509922e-05,rounding
110,2.612137362622395e-09,nearest
110,0.002204748067139657,rounding
110,0.0012362950388288057,nearest
110,0.002217596685319698,rounding
110,0.0013789878711308891,nearest
110,0.001022040975905921,rounding
110,0.0008999229395988372,nearest
110,0.003063910898459713,rounding
110,0.0010248652680709494,nearest
