Graph Nodes,Time,Method
20,0.04552912712097168,fplll
20,0.03101944923400879,fplll
20,0.03175711631774902,fplll
20,0.031601667404174805,fplll
20,0.03167843818664551,fplll
20,0.03139376640319824,fplll
30,0.07136678695678711,fplll
30,0.0718226432800293,fplll
30,0.0720670223236084,fplll
30,0.07178425788879395,fplll
30,0.07339954376220703,fplll
30,0.0721125602722168,fplll
40,0.12969231605529785,fplll
40,0.1295607089996338,fplll
40,0.12680983543395996,fplll
40,0.1306161880493164,fplll
40,0.13187646865844727,fplll
40,0.13437509536743164,fplll
50,0.20520782470703125,fplll
50,0.20298099517822266,fplll
50,0.20045113563537598,fplll
50,0.18914198875427246,fplll
50,0.20107507705688477,fplll
50,0.20218658447265625,fplll
60,0.29195284843444824,fplll
60,0.29073572158813477,fplll
60,0.28798842430114746,fplll
60,0.2997760772705078,fplll
60,0.2956717014312744,fplll
60,0.29149603843688965,fplll
70,0.4030570983886719,fplll
70,0.4029879570007324,fplll
70,0.39763498306274414,fplll
70,0.3988018035888672,fplll
70,0.4018104076385498,fplll
70,0.4027125835418701,fplll
80,0.5260601043701172,fplll
80,0.5241398811340332,fplll
80,0.5305531024932861,fplll
80,0.5468714237213135,fplll
80,0.5873136520385742,fplll
80,0.5660102367401123,fplll
90,0.6975879669189453,fplll
90,0.693256139755249,fplll
90,0.670802116394043,fplll
90,0.6712007522583008,fplll
90,0.6876640319824219,fplll
90,0.7437734603881836,fplll
100,0.8448209762573242,fplll
100,0.8418054580688477,fplll
100,0.8490066528320312,fplll
100,0.8477299213409424,fplll
100,0.845949649810791,fplll
100,0.8723971843719482,fplll
110,1.0129568576812744,fplll
110,1.0301525592803955,fplll
110,1.0042872428894043,fplll
110,0.9956459999084473,fplll
110,1.0045711994171143,fplll
110,1.0046749114990234,fplll
