Graph Nodes,Time,Method
20,0.521540641784668,gauss
20,0.5014283657073975,gauss
20,0.49318981170654297,gauss
20,0.5061876773834229,gauss
20,0.5074286460876465,gauss
20,0.49913573265075684,gauss
30,1.1227586269378662,gauss
30,1.117706298828125,gauss
30,1.3834147453308105,gauss
30,1.1548752784729004,gauss
30,1.2825238704681396,gauss
30,1.173142910003662,gauss
40,1.9591307640075684,gauss
40,2.0411269664764404,gauss
40,1.9777905941009521,gauss
40,1.9570178985595703,gauss
40,2.0968730449676514,gauss
40,1.978466272354126,gauss
50,3.1521270275115967,gauss
50,3.1363131999969482,gauss
50,2.986052989959717,gauss
50,2.544684886932373,gauss
50,3.220595598220825,gauss
50,3.181288003921509,gauss
60,4.503714323043823,gauss
60,4.4046947956085205,gauss
60,4.740406513214111,gauss
60,4.3884100914001465,gauss
60,4.726460695266724,gauss
60,4.564558029174805,gauss
70,6.061187744140625,gauss
70,5.889673948287964,gauss
70,5.86048150062561,gauss
70,5.419431209564209,gauss
70,6.297272682189941,gauss
70,6.428800106048584,gauss
80,8.334717035293579,gauss
80,7.8291802406311035,gauss
80,7.35983943939209,gauss
80,7.6996283531188965,gauss
80,8.696993112564087,gauss
80,7.814638137817383,gauss
90,10.355568408966064,gauss
90,9.576788425445557,gauss
90,10.402390241622925,gauss
90,9.642014265060425,gauss
90,9.67553448677063,gauss
90,9.75353193283081,gauss
100,12.499950408935547,gauss
100,12.218803882598877,gauss
100,12.524746179580688,gauss
100,11.630798101425171,gauss
100,12.469771385192871,gauss
100,12.236207723617554,gauss
110,14.220108985900879,gauss
110,14.372761726379395,gauss
110,14.565344095230103,gauss
110,14.518652200698853,gauss
110,14.776879072189331,gauss
110,15.31929874420166,gauss
20,0.3067314624786377,nv
20,0.30763745307922363,nv
20,0.3146345615386963,nv
20,0.30991625785827637,nv
20,0.31220006942749023,nv
20,0.3041725158691406,nv
30,0.6771323680877686,nv
30,0.7371845245361328,nv
30,0.6906559467315674,nv
30,0.7111613750457764,nv
30,0.7167980670928955,nv
30,0.6997878551483154,nv
40,1.2691633701324463,nv
40,1.2718372344970703,nv
40,1.3184118270874023,nv
40,1.2899298667907715,nv
40,1.2827932834625244,nv
40,1.2598001956939697,nv
50,1.943955898284912,nv
50,2.018298864364624,nv
50,1.9605438709259033,nv
50,1.8782672882080078,nv
50,1.941575527191162,nv
50,2.0392701625823975,nv
60,2.8477745056152344,nv
60,2.941174030303955,nv
60,2.930410861968994,nv
60,2.9180009365081787,nv
60,2.98337721824646,nv
60,2.725933790206909,nv
70,3.977097511291504,nv
70,3.938901901245117,nv
70,4.202710866928101,nv
70,3.9980249404907227,nv
70,3.812117576599121,nv
70,3.8056468963623047,nv
80,5.25615119934082,nv
80,5.215206623077393,nv
80,5.02355170249939,nv
80,5.45004940032959,nv
80,5.231511831283569,nv
80,5.307452440261841,nv
90,6.530397891998291,nv
90,6.633934736251831,nv
90,6.475496530532837,nv
90,6.376034259796143,nv
90,6.688374280929565,nv
90,6.491138935089111,nv
100,8.301295042037964,nv
100,8.09449028968811,nv
100,8.307658910751343,nv
100,8.170718908309937,nv
100,8.235501289367676,nv
100,8.180171966552734,nv
110,9.465657711029053,nv
110,9.698777675628662,nv
110,10.064558029174805,nv
110,10.264248847961426,nv
110,10.150153875350952,nv
110,9.767664670944214,nv
